occured,usage point,value
2011-11-30T12:00:00.000Z,0,3000
2011-11-30T12:00:00.000Z,0,3000
2011-11-30T12:00:00.000Z,0,2700
2011-11-30T12:00:00.000Z,0,2700
2011-11-30T12:00:00.000Z,0,3000
2011-11-30T12:00:00.000Z,0,3000
2011-11-30T12:00:00.000Z,0,2700
2011-11-30T12:00:00.000Z,0,3000
2011-11-30T12:00:00.000Z,0,3000
2011-11-30T12:00:00.000Z,0,3000
2011-11-30T12:00:00.000Z,0,2700
2011-11-30T12:00:00.000Z,0,3000
2011-11-30T12:00:00.000Z,0,2700
2011-11-30T12:00:00.000Z,0,3300
2011-11-30T12:00:00.000Z,0,3000
2011-11-30T12:00:00.000Z,0,2700
2011-11-30T12:00:00.000Z,0,3000
2011-11-30T12:00:00.000Z,0,3000
2011-11-30T12:00:00.000Z,0,3000
2011-11-30T12:00:00.000Z,0,3000
2011-11-30T12:00:00.000Z,0,2700
2011-11-30T12:00:00.000Z,0,2400
2011-11-30T12:00:00.000Z,0,2400
2011-11-30T12:00:00.000Z,0,2100
2011-11-30T12:00:00.000Z,0,4200
2011-11-30T12:00:00.000Z,0,5100
2011-11-30T12:00:00.000Z,0,5400
2011-11-30T12:00:00.000Z,0,3000
2011-11-30T12:00:00.000Z,0,1500
2011-11-30T12:00:00.000Z,0,900
2011-11-30T12:00:00.000Z,0,1200
2011-11-30T12:00:00.000Z,0,900
2011-11-30T12:00:00.000Z,0,1500
2011-11-30T12:00:00.000Z,0,1500
2011-11-30T12:00:00.000Z,0,1500
2011-11-30T12:00:00.000Z,0,2700
2011-11-30T12:00:00.000Z,0,3600
2011-11-30T12:00:00.000Z,0,3600
2011-11-30T12:00:00.000Z,0,3600
2011-11-30T12:00:00.000Z,0,3600
2011-11-30T12:00:00.000Z,0,4500
2011-11-30T12:00:00.000Z,0,4200
2011-11-30T12:00:00.000Z,0,4200
2011-11-30T12:00:00.000Z,0,3900
2011-11-30T12:00:00.000Z,0,3900
2011-11-30T12:00:00.000Z,0,4200
2011-11-30T12:00:00.000Z,0,3900
2011-11-30T12:00:00.000Z,0,4200
2011-11-30T12:00:00.000Z,0,3600
2011-11-30T12:00:00.000Z,0,3600
2011-11-30T12:00:00.000Z,0,2400
2011-11-30T12:00:00.000Z,0,900
2011-11-30T12:00:00.000Z,0,600
2011-11-30T12:00:00.000Z,0,1200
2011-11-30T12:00:00.000Z,0,600
2011-11-30T12:00:00.000Z,0,1200
2011-11-30T12:00:00.000Z,0,1200
2011-11-30T12:00:00.000Z,0,2100
2011-11-30T12:00:00.000Z,0,1800
2011-11-30T12:00:00.000Z,0,3300
2011-11-30T12:00:00.000Z,0,3900
2011-11-30T12:00:00.000Z,0,3600
2011-11-30T12:00:00.000Z,0,3900
2011-11-30T12:00:00.000Z,0,3900
2011-11-30T12:00:00.000Z,0,3900
2011-11-30T12:00:00.000Z,0,4800
2011-11-30T12:00:00.000Z,0,4500
2011-11-30T12:00:00.000Z,0,4800
2011-11-30T12:00:00.000Z,0,4800
2011-11-30T12:00:00.000Z,0,4800
2011-11-30T12:00:00.000Z,0,5100
2011-11-30T12:00:00.000Z,0,6000
2011-11-30T12:00:00.000Z,0,6000
2011-11-30T12:00:00.000Z,0,5700
2011-11-30T12:00:00.000Z,0,5400
2011-11-30T12:00:00.000Z,0,5700
2011-11-30T12:00:00.000Z,0,5400
2011-11-30T12:00:00.000Z,0,4500
2011-11-30T12:00:00.000Z,0,4800
2011-11-30T12:00:00.000Z,0,4500
2011-11-30T12:00:00.000Z,0,4800
2011-11-30T12:00:00.000Z,0,4500
2011-11-30T12:00:00.000Z,0,4200
2011-11-30T12:00:00.000Z,0,4200
2011-11-30T12:00:00.000Z,0,4200
2011-11-30T12:00:00.000Z,0,4500
2011-11-30T12:00:00.000Z,0,4200
2011-11-30T12:00:00.000Z,0,4200
2011-11-30T12:00:00.000Z,0,3900
2011-11-30T12:00:00.000Z,0,4200
2011-11-30T12:00:00.000Z,0,3000
2011-11-30T12:00:00.000Z,0,2700
2011-11-30T12:00:00.000Z,0,2400
2011-11-30T12:00:00.000Z,0,2700
2011-11-30T12:00:00.000Z,0,2700
